
$NEW TRACK
HR	 MIN	 SEC	 MSEC	 X(px)	 Y(px)
15	 55	 07	 0637	0356	 0209
15	 55	 07	 0714	0355	 0207
15	 55	 07	 0791	0354	 0204
15	 55	 07	 0861	0353	 0202
15	 55	 07	 0932	0352	 0201
15	 55	 08	 0009	0351	 0199
15	 55	 08	 0066	0349	 0197
15	 55	 08	 0151	0348	 0195
15	 55	 08	 0222	0346	 0193
15	 55	 08	 0308	0344	 0191
15	 55	 08	 0385	0343	 0189
15	 55	 08	 0443	0342	 0187
15	 55	 08	 0505	0340	 0186
15	 55	 08	 0588	0338	 0184
15	 55	 08	 0643	0336	 0182
15	 55	 08	 0713	0334	 0181
15	 55	 08	 0767	0332	 0179
15	 55	 08	 0823	0330	 0178
15	 55	 08	 0886	0328	 0176
15	 55	 08	 0930	0327	 0175
15	 55	 08	 0997	0325	 0173
15	 55	 09	 0073	0323	 0172
15	 55	 09	 0142	0321	 0171
15	 55	 09	 0196	0319	 0170
15	 55	 09	 0271	0316	 0169
15	 55	 09	 0332	0314	 0168
15	 55	 09	 0419	0311	 0166
15	 55	 09	 0494	0308	 0165
15	 55	 09	 0541	0307	 0165
15	 55	 09	 0622	0305	 0164
15	 55	 09	 0699	0301	 0163
15	 55	 09	 0778	0299	 0163
15	 55	 09	 0854	0296	 0162
15	 55	 09	 0931	0293	 0162
15	 55	 09	 0994	0290	 0161
15	 55	 10	 0051	0288	 0161
15	 55	 10	 0111	0287	 0161
15	 55	 10	 0182	0285	 0161
15	 55	 10	 0236	0283	 0161
15	 55	 10	 0290	0280	 0162
15	 55	 10	 0348	0279	 0162
15	 55	 10	 0418	0277	 0163
15	 55	 10	 0492	0273	 0163
15	 55	 10	 0551	0271	 0163
15	 55	 10	 0607	0270	 0164
15	 55	 10	 0675	0268	 0164
15	 55	 10	 0744	0266	 0165
15	 55	 10	 0822	0263	 0167
15	 55	 10	 0903	0261	 0168
15	 55	 10	 0963	0259	 0169
15	 55	 11	 0043	0257	 0170
15	 55	 11	 0087	0255	 0171
15	 55	 11	 0169	0253	 0172
15	 55	 11	 0246	0251	 0173
15	 55	 11	 0323	0249	 0174
15	 55	 11	 0393	0247	 0177
15	 55	 11	 0450	0245	 0178
15	 55	 11	 0526	0243	 0179
15	 55	 11	 0606	0242	 0181
15	 55	 11	 0686	0240	 0182
15	 55	 11	 0760	0239	 0184
15	 55	 11	 0843	0236	 0186
15	 55	 11	 0909	0235	 0188
15	 55	 11	 0978	0234	 0189
